time,outsideTemp,humidity,day
23 h,7 °C,98%,15-10-2021
22 h,7.1 °C,98%,15-10-2021
21 h,7.1 °C,98%,15-10-2021
20 h,7.1 °C,98%,15-10-2021
19 h,7.1 °C,98%,15-10-2021
18 h,7.3 °C,97%,15-10-2021
17 h,7.4 °C,96%,15-10-2021
16 h,7.5 °C,96%,15-10-2021
15 h,7.5 °C,96%,15-10-2021
14 h,7.8 °C,93%,15-10-2021
13 h,7.8 °C,92%,15-10-2021
12 h,7.4 °C,93%,15-10-2021
11 h,7.2 °C,95%,15-10-2021
10 h,7.2 °C,94%,15-10-2021
9 h,7.2 °C,94%,15-10-2021
8 h,7.2 °C,93%,15-10-2021
7 h,7.3 °C,92%,15-10-2021
6 h,7.4 °C,92%,15-10-2021
5 h,7.5 °C,94%,15-10-2021
4 h,7.5 °C,95%,15-10-2021
3 h,7.6 °C,95%,15-10-2021
2 h,7.4 °C,94%,15-10-2021
1 h,7.2 °C,96%,15-10-2021
0 h,7.5 °C,97%,15-10-2021
